"date","site_id","restoration_type","start_time","time_segment","common_name","number","distance","HSF","scientific_name","eBird_codes","time_of_day","data_type"
"2020-02-12","UPMAP6B","BM",8.59,2,"Vernal Hanging-Parrot",1,15,"H","Loriculus vernalis","VHPA","8AM to 9AM","point_count"
"2020-02-12","UPMAP6B","BM",8.59,2,"Green Warbler",1,20,"H","Phylloscopus nitidus","GRNW","8AM to 9AM","point_count"
"2020-02-12","UPMAP6B","BM",8.59,3,"Large-billed Leaf Warbler",1,15,"H","Phylloscopus magnirostris","LBLW","8AM to 9AM","point_count"
"2020-02-12","UPMAP6B","BM",8.59,3,"Velvet-fronted Nuthatch",2,10,"H","Sitta frontalis","VFNU","8AM to 9AM","point_count"
"2019-12-10","UPMAP6B","BM",6.43,1,"Gray Junglefowl",1,20,"H","Gallus sonneratii","GRJU","6AM to 7AM","point_count"
"2019-12-10","UPMAP6B","BM",6.43,1,"Puff-throated Babbler",2,20,"H","Pellorneum ruficeps","PTBA","6AM to 7AM","point_count"
"2019-12-10","UPMAP6B","BM",6.43,1,"Greater Racket-tailed Drongo",1,30,"H","Dicrurus paradiseus","GRTD","6AM to 7AM","point_count"
"2019-12-10","UPMAP6B","BM",6.43,1,"Malabar Whistling-Thrush",1,30,"H","Myophonus horsfieldii","MWTH","6AM to 7AM","point_count"
"2019-12-10","UPMAP6B","BM",6.43,1,"Brown-cheeked Fulvetta",1,30,"H","Alcippe poioicephala","BCFU","6AM to 7AM","point_count"
"2019-12-10","UPMAP6B","BM",6.43,1,"Asian Fairy-bluebird",1,30,"H","Irena puella","AFBL","6AM to 7AM","point_count"
"2019-12-10","UPMAP6B","BM",6.43,1,"Yellow-browed Bulbul",1,30,"H","Iole indica","YBBU","6AM to 7AM","point_count"
"2019-12-10","UPMAP6B","BM",6.43,1,"Green Warbler",1,20,"H","Phylloscopus nitidus","GRNW","6AM to 7AM","point_count"
"2019-12-10","UPMAP6B","BM",6.43,1,"Green Warbler",1,20,"H","Phylloscopus nitidus","GRNW","6AM to 7AM","point_count"
"2019-12-10","UPMAP6B","BM",6.43,2,"Large-billed Leaf Warbler",1,30,"H","Phylloscopus magnirostris","LBLW","6AM to 7AM","point_count"
"2019-12-10","UPMAP6B","BM",6.43,2,"Green Warbler",1,20,"H","Phylloscopus nitidus","GRNW","6AM to 7AM","point_count"
"2019-12-10","UPMAP6B","BM",6.43,2,"Yellow-browed Bulbul",1,30,"H","Iole indica","YBBU","6AM to 7AM","point_count"
"2019-12-10","UPMAP6B","BM",6.43,2,"Black-naped Monarch",1,20,"H","Hypothymis azurea","BNMO","6AM to 7AM","point_count"
"2019-12-10","UPMAP6B","BM",6.43,2,"Vernal Hanging-Parrot",1,10,"F","Loriculus vernalis","VHPA","6AM to 7AM","point_count"
"2019-12-10","UPMAP6B","BM",6.43,2,"Southern Hill Myna",1,30,"H","Gracula indica","SHMY","6AM to 7AM","point_count"
"2019-12-10","UPMAP6B","BM",6.43,3,"Green Warbler",1,10,"H","Phylloscopus nitidus","GRNW","6AM to 7AM","point_count"
"2019-12-10","UPMAP6B","BM",6.43,3,"Brown-cheeked Fulvetta",1,30,"H","Alcippe poioicephala","BCFU","6AM to 7AM","point_count"
"2019-12-10","UPMAP6B","BM",6.43,3,"Velvet-fronted Nuthatch",1,10,"H","Sitta frontalis","VFNU","6AM to 7AM","point_count"
"2020-03-24","UPMAP6B","BM",9.51,1,"Greater Racket-tailed Drongo",1,10,"H","Dicrurus paradiseus","GRTD","9AM to 10AM","point_count"
"2020-03-24","UPMAP6B","BM",9.51,1,"Brown-cheeked Fulvetta",1,20,"H","Alcippe poioicephala","BCFU","9AM to 10AM","point_count"
"2020-03-24","UPMAP6B","BM",9.51,1,"Asian Fairy-bluebird",1,15,"H","Irena puella","AFBL","9AM to 10AM","point_count"
"2020-03-24","UPMAP6B","BM",9.51,1,"Nilgiri Flowerpecker",1,10,"H","Dicaeum concolor","NIFP","9AM to 10AM","point_count"
"2020-03-24","UPMAP6B","BM",9.51,1,"Crimson-backed Sunbird",1,10,"H","Leptocoma minima","CBSU","9AM to 10AM","point_count"
"2020-03-24","UPMAP6B","BM",9.51,1,"Black-naped Monarch",1,15,"H","Hypothymis azurea","BNMO","9AM to 10AM","point_count"
"2020-03-24","UPMAP6B","BM",9.51,1,"Indian Scimitar-Babbler",1,30,"H","Pomatorhinus horsfieldii","ISBA","9AM to 10AM","point_count"
"2020-03-24","UPMAP6B","BM",9.51,1,"White-cheeked Barbet",1,30,"H","Psilopogon viridis","WCBA","9AM to 10AM","point_count"
"2020-03-24","UPMAP6B","BM",9.51,1,"Ashy Drongo",1,20,"H","Dicrurus leucophaeus","ASDR","9AM to 10AM","point_count"
"2020-03-24","UPMAP6B","BM",9.51,1,"Large-billed Leaf Warbler",1,15,"H","Phylloscopus magnirostris","LBLW","9AM to 10AM","point_count"
"2020-03-24","UPMAP6B","BM",9.51,2,"Bronzed Drongo",1,30,"H","Dicrurus aeneus","BRDR","9AM to 10AM","point_count"
"2020-03-24","UPMAP6B","BM",9.51,2,"Malabar Whistling-Thrush",1,30,"H","Myophonus horsfieldii","MWTH","9AM to 10AM","point_count"
"2020-03-24","UPMAP6B","BM",9.51,2,"Green Warbler",1,15,"H","Phylloscopus nitidus","GRNW","9AM to 10AM","point_count"
"2020-03-24","UPMAP6B","BM",9.51,2,"Southern Hill Myna",1,10,"H","Gracula indica","SHMY","9AM to 10AM","point_count"
"2020-03-24","UPMAP6B","BM",9.51,3,"Malabar Gray Hornbill",1,30,"H","Ocyceros griseus","MGHO","9AM to 10AM","point_count"
"2020-03-24","UPMAP6B","BM",9.51,3,"Vernal Hanging-Parrot",1,15,"H","Loriculus vernalis","VHPA","9AM to 10AM","point_count"
"2019-11-13","UPMAP6B","BM",8.44,1,"Vernal Hanging-Parrot",1,5,"H","Loriculus vernalis","VHPA","8AM to 9AM","point_count"
"2019-11-13","UPMAP6B","BM",8.44,1,"Green Warbler",1,10,"H","Phylloscopus nitidus","GRNW","8AM to 9AM","point_count"
"2019-11-13","UPMAP6B","BM",8.44,1,"Nilgiri Flowerpecker",1,10,"H","Dicaeum concolor","NIFP","8AM to 9AM","point_count"
"2019-11-13","UPMAP6B","BM",8.44,1,"Southern Hill Myna",1,20,"H","Gracula indica","SHMY","8AM to 9AM","point_count"
"2019-11-13","UPMAP6B","BM",8.44,1,"Green Warbler",1,20,"H","Phylloscopus nitidus","GRNW","8AM to 9AM","point_count"
"2019-11-13","UPMAP6B","BM",8.44,1,"Large-billed Leaf Warbler",1,30,"H","Phylloscopus magnirostris","LBLW","8AM to 9AM","point_count"
"2019-11-13","UPMAP6B","BM",8.44,1,"Rusty-tailed Flycatcher",1,30,"H","Ficedula ruficauda","RTFL","8AM to 9AM","point_count"
"2019-11-13","UPMAP6B","BM",8.44,1,"Yellow-browed Bulbul",1,20,"H","Iole indica","YBBU","8AM to 9AM","point_count"
"2019-11-13","UPMAP6B","BM",8.44,1,"Orange Minivet",1,15,"H","Pericrocotus flammeus","ORMI","8AM to 9AM","point_count"
"2019-11-13","UPMAP6B","BM",8.44,1,"Bronzed Drongo",1,20,"H","Dicrurus aeneus","BRDR","8AM to 9AM","point_count"
"2019-11-13","UPMAP6B","BM",8.44,2,"Puff-throated Babbler",1,30,"H","Pellorneum ruficeps","PTBA","8AM to 9AM","point_count"
"2019-11-13","UPMAP6B","BM",8.44,2,"Crimson-backed Sunbird",1,15,"H","Leptocoma minima","CBSU","8AM to 9AM","point_count"
"2019-11-13","UPMAP6B","BM",8.44,2,"Greater Racket-tailed Drongo",1,30,"H","Dicrurus paradiseus","GRTD","8AM to 9AM","point_count"
"2019-11-13","UPMAP6B","BM",8.44,2,"Brown-cheeked Fulvetta",1,30,"H","Alcippe poioicephala","BCFU","8AM to 9AM","point_count"
"2019-11-13","UPMAP6B","BM",8.44,2,"Blue-throated Flycatcher",1,15,"H","Cyornis rubeculoides","BTFL","8AM to 9AM","point_count"
"2019-11-13","UPMAP6B","BM",8.44,2,"White-cheeked Barbet",1,20,"H","Psilopogon viridis","WCBA","8AM to 9AM","point_count"
"2019-11-13","UPMAP6B","BM",8.44,2,"Greater Flameback",1,30,"H","Chrysocolaptes guttacristatus","GRFL","8AM to 9AM","point_count"
"2019-11-13","UPMAP6B","BM",8.44,3,"White-cheeked Barbet",2,30,"H","Psilopogon viridis","WCBA","8AM to 9AM","point_count"
"2019-11-13","UPMAP6B","BM",8.44,3,"Yellow-browed Bulbul",1,20,"H","Iole indica","YBBU","8AM to 9AM","point_count"
"2019-11-13","UPMAP6B","BM",8.44,3,"Green Warbler",1,15,"H","Phylloscopus nitidus","GRNW","8AM to 9AM","point_count"
"2020-03-05","UPMAP6B","BM",7.54,1,"Greater Racket-tailed Drongo",2,20,"H","Dicrurus paradiseus","GRTD","7AM to 8AM","point_count"
"2020-03-05","UPMAP6B","BM",7.54,1,"Vernal Hanging-Parrot",1,10,"H","Loriculus vernalis","VHPA","7AM to 8AM","point_count"
"2020-03-05","UPMAP6B","BM",7.54,1,"White-cheeked Barbet",1,15,"H","Psilopogon viridis","WCBA","7AM to 8AM","point_count"
"2020-03-05","UPMAP6B","BM",7.54,1,"Bronzed Drongo",1,15,"H","Dicrurus aeneus","BRDR","7AM to 8AM","point_count"
"2020-03-05","UPMAP6B","BM",7.54,1,"Puff-throated Babbler",1,30,"H","Pellorneum ruficeps","PTBA","7AM to 8AM","point_count"
"2020-03-05","UPMAP6B","BM",7.54,1,"White-bellied Treepie",1,15,"H","Dendrocitta leucogastra","WBTR","7AM to 8AM","point_count"
"2020-03-05","UPMAP6B","BM",7.54,1,"Vernal Hanging-Parrot",1,10,"H","Loriculus vernalis","VHPA","7AM to 8AM","point_count"
"2020-03-05","UPMAP6B","BM",7.54,2,"White-cheeked Barbet",1,20,"H","Psilopogon viridis","WCBA","7AM to 8AM","point_count"
"2020-03-05","UPMAP6B","BM",7.54,2,"Crimson-backed Sunbird",1,15,"H","Leptocoma minima","CBSU","7AM to 8AM","point_count"
"2020-03-05","UPMAP6B","BM",7.54,2,"Asian Fairy-bluebird",1,30,"H","Irena puella","AFBL","7AM to 8AM","point_count"
"2020-03-05","UPMAP6B","BM",7.54,2,"Yellow-browed Bulbul",1,10,"H","Iole indica","YBBU","7AM to 8AM","point_count"
"2020-03-05","UPMAP6B","BM",7.54,2,"Malabar Barbet",1,20,"H","Psilopogon malabaricus","MABA","7AM to 8AM","point_count"
"2020-03-05","UPMAP6B","BM",7.54,2,"Greenish Warbler",1,15,"H","Phylloscopus trochiloides","GRWA","7AM to 8AM","point_count"
"2020-03-05","UPMAP6B","BM",7.54,2,"Gray Junglefowl",1,20,"H","Gallus sonneratii","GRJU","7AM to 8AM","point_count"
"2020-03-05","UPMAP6B","BM",7.54,3,"Vernal Hanging-Parrot",1,10,"H","Loriculus vernalis","VHPA","7AM to 8AM","point_count"
"2020-03-05","UPMAP6B","BM",7.54,3,"Large-billed Leaf Warbler",1,15,"H","Phylloscopus magnirostris","LBLW","7AM to 8AM","point_count"
"2020-03-05","UPMAP6B","BM",7.54,3,"Greenish Warbler",1,5,"H","Phylloscopus trochiloides","GRWA","7AM to 8AM","point_count"
"2020-03-05","UPMAP6B","BM",7.54,3,"Gray Junglefowl",1,30,"H","Gallus sonneratii","GRJU","7AM to 8AM","point_count"
"2019-12-30","UPMAP6B","BM",8.58,1,"White-cheeked Barbet",1,20,"H","Psilopogon viridis","WCBA","8AM to 9AM","point_count"
"2019-12-30","UPMAP6B","BM",8.58,1,"Vernal Hanging-Parrot",1,10,"H","Loriculus vernalis","VHPA","8AM to 9AM","point_count"
"2019-12-30","UPMAP6B","BM",8.58,1,"Brown-cheeked Fulvetta",1,30,"H","Alcippe poioicephala","BCFU","8AM to 9AM","point_count"
"2019-12-30","UPMAP6B","BM",8.58,1,"Green Warbler",2,10,"H","Phylloscopus nitidus","GRNW","8AM to 9AM","point_count"
"2019-12-30","UPMAP6B","BM",8.58,1,"Malabar Barbet",1,30,"H","Psilopogon malabaricus","MABA","8AM to 9AM","point_count"
"2019-12-30","UPMAP6B","BM",8.58,1,"Yellow-browed Bulbul",1,30,"H","Iole indica","YBBU","8AM to 9AM","point_count"
"2019-12-30","UPMAP6B","BM",8.58,2,"Large-billed Crow",2,10,"H","Corvus macrorhynchos","LBCR","8AM to 9AM","point_count"
"2019-12-30","UPMAP6B","BM",8.58,2,"Nilgiri Flowerpecker",1,5,"H","Dicaeum concolor","NIFP","8AM to 9AM","point_count"
"2019-12-30","UPMAP6B","BM",8.58,2,"Malabar Gray Hornbill",1,30,"H","Ocyceros griseus","MGHO","8AM to 9AM","point_count"
"2019-12-30","UPMAP6B","BM",8.58,2,"Asian Fairy-bluebird",1,30,"H","Irena puella","AFBL","8AM to 9AM","point_count"
"2019-12-30","UPMAP6B","BM",8.58,3,"Chestnut-headed Bee-eater",1,30,"H","Merops leschenaulti","CHBE","8AM to 9AM","point_count"
"2019-12-30","UPMAP6B","BM",8.58,3,"Orange Minivet",1,15,"H","Pericrocotus flammeus","ORMI","8AM to 9AM","point_count"
"2019-12-30","UPMAP6B","BM",8.58,3,"Velvet-fronted Nuthatch",1,15,"H","Sitta frontalis","VFNU","8AM to 9AM","point_count"
"2019-12-30","UPMAP6B","BM",8.58,3,"Nilgiri Flowerpecker",1,10,"H","Dicaeum concolor","NIFP","8AM to 9AM","point_count"
"2019-12-30","UPMAP6B","BM",8.58,3,"Bronzed Drongo",1,15,"H","Dicrurus aeneus","BRDR","8AM to 9AM","point_count"
"2019-12-30","UPMAP6B","BM",8.58,3,"Large-billed Leaf Warbler",1,10,"H","Phylloscopus magnirostris","LBLW","8AM to 9AM","point_count"
"2019-12-30","UPMAP6B","BM",8.58,3,"Ashy Drongo",1,15,"H","Dicrurus leucophaeus","ASDR","8AM to 9AM","point_count"
"2020-03-11","VAR210R","AR",7.06,1,"Yellow-browed Bulbul",1,15,"H","Iole indica","YBBU","7AM to 8AM","point_count"
"2020-03-11","VAR210R","AR",7.06,1,"Greenish Warbler",1,10,"H","Phylloscopus trochiloides","GRWA","7AM to 8AM","point_count"
"2020-03-11","VAR210R","AR",7.06,1,"Malabar Whistling-Thrush",2,15,"H","Myophonus horsfieldii","MWTH","7AM to 8AM","point_count"
"2020-03-11","VAR210R","AR",7.06,1,"White-cheeked Barbet",1,20,"H","Psilopogon viridis","WCBA","7AM to 8AM","point_count"
"2020-03-11","VAR210R","AR",7.06,1,"Large-billed Crow",2,15,"F","Corvus macrorhynchos","LBCR","7AM to 8AM","point_count"
"2020-03-11","VAR210R","AR",7.06,1,"Crimson-backed Sunbird",1,10,"H","Leptocoma minima","CBSU","7AM to 8AM","point_count"
"2020-03-11","VAR210R","AR",7.06,2,"Nilgiri Flowerpecker",1,10,"H","Dicaeum concolor","NIFP","7AM to 8AM","point_count"
"2020-03-11","VAR210R","AR",7.06,2,"Spotted Dove",1,20,"H","Streptopelia chinensis","SPDO","7AM to 8AM","point_count"
"2020-03-11","VAR210R","AR",7.06,2,"Red-whiskered Bulbul",1,15,"H","Pycnonotus jocosus","RWBU","7AM to 8AM","point_count"
"2020-03-11","VAR210R","AR",7.06,3,"Plum-headed Parakeet",1,5,"F","Psittacula cyanocephala","PHPA","7AM to 8AM","point_count"
"2020-03-11","VAR210R","AR",7.06,3,"Indian White-eye",1,15,"H","Zosterops palpebrosus","IWEY","7AM to 8AM","point_count"
"2020-02-20","VAR210R","AR",9.17,1,"Asian Fairy-bluebird",2,10,"H","Irena puella","AFBL","9AM to 10AM","point_count"
"2020-02-20","VAR210R","AR",9.17,1,"Crimson-backed Sunbird",1,15,"H","Leptocoma minima","CBSU","9AM to 10AM","point_count"
"2020-02-20","VAR210R","AR",9.17,1,"Gray Junglefowl",1,30,"H","Gallus sonneratii","GRJU","9AM to 10AM","point_count"
"2020-02-20","VAR210R","AR",9.17,1,"Vernal Hanging-Parrot",1,10,"H","Loriculus vernalis","VHPA","9AM to 10AM","point_count"
"2020-02-20","VAR210R","AR",9.17,1,"Nilgiri Flowerpecker",1,10,"H","Dicaeum concolor","NIFP","9AM to 10AM","point_count"
"2020-02-20","VAR210R","AR",9.17,1,"Malabar Parakeet",1,30,"H","Psittacula columboides","MAPA","9AM to 10AM","point_count"
"2020-02-20","VAR210R","AR",9.17,1,"Green Warbler",1,20,"H","Phylloscopus nitidus","GRNW","9AM to 10AM","point_count"
"2020-02-20","VAR210R","AR",9.17,1,"Yellow-browed Bulbul",1,15,"H","Iole indica","YBBU","9AM to 10AM","point_count"
"2020-02-20","VAR210R","AR",9.17,1,"White-cheeked Barbet",1,30,"H","Psilopogon viridis","WCBA","9AM to 10AM","point_count"
"2020-02-06","VAR210R","AR",6.46,1,"Yellow-browed Bulbul",1,10,"H","Iole indica","YBBU","6AM to 7AM","point_count"
"2020-02-06","VAR210R","AR",6.46,1,"Crimson-backed Sunbird",1,10,"H","Leptocoma minima","CBSU","6AM to 7AM","point_count"
"2020-02-06","VAR210R","AR",6.46,2,"Red-whiskered Bulbul",1,30,"H","Pycnonotus jocosus","RWBU","6AM to 7AM","point_count"
"2020-02-06","VAR210R","AR",6.46,3,"Spotted Dove",1,30,"H","Streptopelia chinensis","SPDO","6AM to 7AM","point_count"
"2020-02-06","VAR210R","AR",6.46,3,"Malabar Whistling-Thrush",1,30,"H","Myophonus horsfieldii","MWTH","6AM to 7AM","point_count"
"2020-01-09","VAR210R","AR",8.54,1,"Red-whiskered Bulbul",1,30,"H","Pycnonotus jocosus","RWBU","8AM to 9AM","point_count"
"2020-01-09","VAR210R","AR",8.54,1,"Spotted Dove",1,30,"H","Streptopelia chinensis","SPDO","8AM to 9AM","point_count"
"2020-01-09","VAR210R","AR",8.54,1,"Yellow-browed Bulbul",1,20,"H","Iole indica","YBBU","8AM to 9AM","point_count"
"2020-01-09","VAR210R","AR",8.54,1,"Large-billed Leaf Warbler",1,30,"H","Phylloscopus magnirostris","LBLW","8AM to 9AM","point_count"
"2020-01-09","VAR210R","AR",8.54,2,"Greenish Warbler",1,15,"H","Phylloscopus trochiloides","GRWA","8AM to 9AM","point_count"
"2020-01-09","VAR210R","AR",8.54,2,"Orange Minivet",1,15,"H","Pericrocotus flammeus","ORMI","8AM to 9AM","point_count"
"2020-01-09","VAR210R","AR",8.54,3,"Green Warbler",1,20,"H","Phylloscopus nitidus","GRNW","8AM to 9AM","point_count"
"2020-01-09","VAR210R","AR",8.54,3,"Purple Sunbird",1,10,"H","Cinnyris asiaticus","PUSU","8AM to 9AM","point_count"
"2019-11-30","VAR210R","AR",8.52,1,"Nilgiri Flowerpecker",1,15,"H","Dicaeum concolor","NIFP","8AM to 9AM","point_count"
"2019-11-30","VAR210R","AR",8.52,1,"Malabar Barbet",1,30,"F","Psilopogon malabaricus","MABA","8AM to 9AM","point_count"
"2019-11-30","VAR210R","AR",8.52,1,"Vernal Hanging-Parrot",1,5,"H","Loriculus vernalis","VHPA","8AM to 9AM","point_count"
"2019-11-30","VAR210R","AR",8.52,1,"Green Warbler",1,10,"H","Phylloscopus nitidus","GRNW","8AM to 9AM","point_count"
"2019-11-30","VAR210R","AR",8.52,1,"Large-billed Leaf Warbler",1,10,"H","Phylloscopus magnirostris","LBLW","8AM to 9AM","point_count"
"2019-11-30","VAR210R","AR",8.52,1,"Green Warbler",1,15,"H","Phylloscopus nitidus","GRNW","8AM to 9AM","point_count"
"2019-11-30","VAR210R","AR",8.52,1,"Red-whiskered Bulbul",1,30,"S","Pycnonotus jocosus","RWBU","8AM to 9AM","point_count"
"2019-11-30","VAR210R","AR",8.52,1,"Malabar Whistling-Thrush",1,30,"S","Myophonus horsfieldii","MWTH","8AM to 9AM","point_count"
"2019-11-30","VAR210R","AR",8.52,2,"Brown-breasted Flycatcher",1,0,"S","Muscicapa muttui","BBFL","8AM to 9AM","point_count"
"2019-11-30","VAR210R","AR",8.52,2,"Gray-headed Canary-Flycatcher",1,5,"H","Culicicapa ceylonensis","GHCF","8AM to 9AM","point_count"
"2019-11-30","VAR210R","AR",8.52,3,"Crimson-backed Sunbird",1,15,"H","Leptocoma minima","CBSU","8AM to 9AM","point_count"
"2019-11-30","VAR210R","AR",8.52,3,"Yellow-browed Bulbul",1,10,"H","Iole indica","YBBU","8AM to 9AM","point_count"
"2019-11-30","VAR210R","AR",8.52,3,"Indian White-eye",1,10,"H","Zosterops palpebrosus","IWEY","8AM to 9AM","point_count"
"2019-11-30","VAR210R","AR",8.52,3,"Black-naped Monarch",1,10,"H","Hypothymis azurea","BNMO","8AM to 9AM","point_count"
"2019-11-30","VAR210R","AR",8.52,3,"Indian Paradise-Flycatcher",1,10,"H","Terpsiphone paradisi","IPFL","8AM to 9AM","point_count"
"2019-11-30","VAR210R","AR",8.52,3,"Orange-headed Thrush",1,10,"H","Geokichla citrina","OHTH","8AM to 9AM","point_count"
"2019-11-05","VAR210R","AR",6.46,1,"Greenish Warbler",1,5,"H","Phylloscopus trochiloides","GRWA","6AM to 7AM","point_count"
"2019-11-05","VAR210R","AR",6.46,1,"Large-billed Leaf Warbler",1,30,"H","Phylloscopus magnirostris","LBLW","6AM to 7AM","point_count"
"2019-11-05","VAR210R","AR",6.46,1,"Yellow-browed Bulbul",1,20,"H","Iole indica","YBBU","6AM to 7AM","point_count"
"2019-11-05","VAR210R","AR",6.46,1,"Large-billed Leaf Warbler",1,30,"H","Phylloscopus magnirostris","LBLW","6AM to 7AM","point_count"
"2019-11-05","VAR210R","AR",6.46,1,"Vernal Hanging-Parrot",1,10,"F","Loriculus vernalis","VHPA","6AM to 7AM","point_count"
"2019-11-05","VAR210R","AR",6.46,1,"Yellow-browed Bulbul",2,20,"H","Iole indica","YBBU","6AM to 7AM","point_count"
"2019-11-05","VAR210R","AR",6.46,1,"Puff-throated Babbler",2,15,"H","Pellorneum ruficeps","PTBA","6AM to 7AM","point_count"
"2019-11-05","VAR210R","AR",6.46,2,"Indian Blue Robin",1,30,"H","Larvivora brunnea","IBRO","6AM to 7AM","point_count"
"2019-11-05","VAR210R","AR",6.46,2,"Vernal Hanging-Parrot",1,10,"F","Loriculus vernalis","VHPA","6AM to 7AM","point_count"
"2019-11-05","VAR210R","AR",6.46,3,"Indian White-eye",1,5,"H","Zosterops palpebrosus","IWEY","6AM to 7AM","point_count"
"2019-11-05","VAR310R","AR",7.12,1,"Indian White-eye",1,10,"H","Zosterops palpebrosus","IWEY","7AM to 8AM","point_count"
"2019-11-05","VAR310R","AR",7.12,1,"Common Iora",1,15,"H","Aegithina tiphia","COIO","7AM to 8AM","point_count"
"2019-11-05","VAR310R","AR",7.12,1,"Greater Flameback",2,20,"H","Chrysocolaptes guttacristatus","GRFL","7AM to 8AM","point_count"
"2019-11-05","VAR310R","AR",7.12,1,"Vernal Hanging-Parrot",1,5,"F","Loriculus vernalis","VHPA","7AM to 8AM","point_count"
"2019-11-05","VAR310R","AR",7.12,1,"Greater Racket-tailed Drongo",1,30,"H","Dicrurus paradiseus","GRTD","7AM to 8AM","point_count"
"2019-11-05","VAR310R","AR",7.12,1,"Crimson-backed Sunbird",2,20,"H","Leptocoma minima","CBSU","7AM to 8AM","point_count"
"2019-11-05","VAR310R","AR",7.12,1,"Malabar Whistling-Thrush",1,20,"H","Myophonus horsfieldii","MWTH","7AM to 8AM","point_count"
"2019-11-05","VAR310R","AR",7.12,1,"Vernal Hanging-Parrot",1,20,"H","Loriculus vernalis","VHPA","7AM to 8AM","point_count"
"2019-11-05","VAR310R","AR",7.12,1,"Blue-throated Flycatcher",1,10,"H","Cyornis rubeculoides","BTFL","7AM to 8AM","point_count"
"2019-11-05","VAR310R","AR",7.12,1,"Indian Scimitar-Babbler",1,10,"H","Pomatorhinus horsfieldii","ISBA","7AM to 8AM","point_count"
"2019-11-05","VAR310R","AR",7.12,1,"Flame-throated Bulbul",1,20,"H","Rubigula gularis","FTBU","7AM to 8AM","point_count"
"2019-11-05","VAR310R","AR",7.12,1,"Red-whiskered Bulbul",1,20,"H","Pycnonotus jocosus","RWBU","7AM to 8AM","point_count"
"2019-11-05","VAR310R","AR",7.12,2,"Green Warbler",1,15,"H","Phylloscopus nitidus","GRNW","7AM to 8AM","point_count"
"2019-11-05","VAR310R","AR",7.12,2,"Vernal Hanging-Parrot",1,20,"H","Loriculus vernalis","VHPA","7AM to 8AM","point_count"
"2019-11-05","VAR310R","AR",7.12,2,"Greenish Warbler",1,30,"H","Phylloscopus trochiloides","GRWA","7AM to 8AM","point_count"
"2019-11-05","VAR310R","AR",7.12,3,"Mountain Imperial-Pigeon",1,20,"H","Ducula badia","MIPI","7AM to 8AM","point_count"
"2019-11-05","VAR310R","AR",7.12,3,"Yellow-browed Bulbul",2,20,"H","Iole indica","YBBU","7AM to 8AM","point_count"
"2019-11-05","VAR310R","AR",7.12,3,"Brown Shrike",1,20,"H","Lanius cristatus","BRSH","7AM to 8AM","point_count"
"2019-11-05","VAR310R","AR",7.12,3,"Malabar Trogon",1,20,"H","Harpactes fasciatus","MATR","7AM to 8AM","point_count"
"2019-11-05","VAR310R","AR",7.12,3,"Lesser Yellownape",1,20,"H","Picus chlorolophus","LEYE","7AM to 8AM","point_count"
"2020-02-06","VAR310R","AR",7.14,1,"Crimson-backed Sunbird",1,10,"H","Leptocoma minima","CBSU","7AM to 8AM","point_count"
"2020-02-06","VAR310R","AR",7.14,1,"Large-billed Crow",2,15,"H","Corvus macrorhynchos","LBCR","7AM to 8AM","point_count"
"2020-02-06","VAR310R","AR",7.14,1,"Yellow-browed Bulbul",1,10,"H","Iole indica","YBBU","7AM to 8AM","point_count"
"2020-02-06","VAR310R","AR",7.14,1,"Red-whiskered Bulbul",1,10,"H","Pycnonotus jocosus","RWBU","7AM to 8AM","point_count"
"2020-02-06","VAR310R","AR",7.14,1,"Nilgiri Flowerpecker",1,10,"H","Dicaeum concolor","NIFP","7AM to 8AM","point_count"
"2020-02-06","VAR310R","AR",7.14,1,"Rufous Babbler",1,15,"H","Argya subrufa","RUBA","7AM to 8AM","point_count"
"2020-02-06","VAR310R","AR",7.14,2,"Indian White-eye",1,20,"H","Zosterops palpebrosus","IWEY","7AM to 8AM","point_count"
"2020-02-06","VAR310R","AR",7.14,2,"White-cheeked Barbet",1,30,"H","Psilopogon viridis","WCBA","7AM to 8AM","point_count"
"2020-02-06","VAR310R","AR",7.14,2,"Large-billed Leaf Warbler",1,10,"H","Phylloscopus magnirostris","LBLW","7AM to 8AM","point_count"
"2020-02-06","VAR310R","AR",7.14,2,"Malabar Barbet",1,30,"H","Psilopogon malabaricus","MABA","7AM to 8AM","point_count"
"2020-02-06","VAR310R","AR",7.14,3,"Greater Racket-tailed Drongo",1,30,"H","Dicrurus paradiseus","GRTD","7AM to 8AM","point_count"
